user_id,gender,age,country,subscription_type,listening_time,songs_played_per_day,skip_rate,device_type,ads_listened_per_week,offline_listening,is_churned
1,Male,37,US,Free,263,29,0.024,Desktop,15,14,0
2,Other,39,US,Free,14,39,0.294,Desktop,16,11,1
3,Female,14,US,Premium,220,32,0.141,Mobile,0,116,0
4,Female,37,DE,Free,394,49,0.017,Web,20,12,0
5,Male,23,US,Free,279,42,0.196,Web,25,7,1
6,Male,36,US,Free,64,32,0.356,Mobile,20,4,1
7,Male,29,GB,Premium,71,29,0.322,Mobile,0,139,1
8,Female,30,US,Premium,223,25,0.159,Desktop,0,139,0
9,Female,28,GB,Family,156,30,0.289,Mobile,0,117,0
10,Female,39,US,Student,339,24,0.109,Desktop,0,10,0
11,Male,20,US,Free,262,32,0.231,Desktop,23,19,1
12,Other,34,GB,Premium,88,29,0.097,Mobile,0,135,0
13,Female,38,US,Free,47,38,0.761,Mobile,26,5,1
14,Male,35,US,Free,218,32,0.267,Mobile,14,11,1
15,Male,48,GB,Free,80,29,0.272,Web,14,13,1
16,Male,25,AU,Free,102,38,0.212,Mobile,13,6,1
17,Male,37,IN,Free,80,28,0.054,Mobile,27,9,1
18,Female,29,BR,Free,126,32,0.469,Web,22,11,1
19,Male,39,BR,Premium,197,39,0.363,Mobile,0,107,1
20,Male,29,NL,Free,109,45,0.318,Mobile,15,9,1
21,Female,26,IN,Premium,139,31,0.337,Mobile,0,122,0
22,Male,40,DE,Free,116,30,0.163,Mobile,23,9,1
23,Male,26,US,Free,221,38,0.146,Mobile,17,14,1
24,Male,18,US,Free,255,34,0.264,Mobile,22,12,1
25,Female,25,FR,Free,234,32,0.385,Web,21,13,1
26,Female,34,SE,Free,328,30,0.087,Mobile,12,11,0
27,Male,41,GB,Premium,43,33,0.316,Mobile,0,141,0
28,Female,30,IN,Premium,260,29,0.215,Mobile,0,112,0
29,Female,40,GB,Free,93,25,0.098,Mobile,17,12,1
30,Male,19,GB,Free,104,25,0.485,Mobile,17,10,1
31,Female,26,GB,Family,28,31,0.235,Mobile,0,111,1
32,Male,27,GB,Free,180,29,0.573,Web,20,11,1
33,Male,29,US,Free,47,28,0.523,Mobile,26,14,1
34,Other,30,IN,Premium,177,45,0.493,Mobile,0,120,1
35,Other,35,BR,Premium,60,25,0.403,Mobile,0,116,1
36,Female,26,BR,Premium,169,37,0.208,Mobile,0,114,0
37,Male,31,US,Premium,257,18,0.422,Mobile,0,119,0
38,Male,29,AU,Free,165,30,0.398,Mobile,19,10,1
39,Female,22,US,Free,111,53,0.519,Mobile,19,10,1
40,Male,29,US,Free,136,28,0.245,Mobile,15,8,1
41,Male,28,IN,Premium,43,27,0.093,Mobile,0,126,0
42,Female,28,US,Family,97,33,0.164,Mobile,0,128,0
43,Male,30,US,Free,155,46,0.269,Mobile,23,9,1
44,Other,30,US,Free,38,39,0.621,Mobile,20,9,1
45,Male,26,IN,Free,21,29,0.234,Web,18,7,1
46,Female,40,US,Free,192,36,0.337,Desktop,18,16,1
47,Male,20,DE,Free,99,37,0.359,Web,26,15,1
48,Female,24,FR,Premium,144,39,0.242,Mobile,0,120,0
49,Female,52,IN,Student,193,26,0.282,Mobile,0,11,0
50,Male,21,AU,Free,135,23,0.231,Mobile,16,7,1
51,Other,19,GB,Free,202,30,0.24,Desktop,12,11,1
52,Female,35,US,Free,75,38,0.639,Mobile,23,5,1
53,Other,13,US,Free,147,24,0.362,Mobile,32,13,1
54,Female,28,GB,Free,26,30,0.198,Mobile,21,9,1
55,Female,47,IN,Premium,129,52,0.022,Mobile,0,141,0
56,Other,17,US,Free,48,31,0.254,Mobile,19,7,1
57,Male,14,US,Student,384,42,0.181,Mobile,0,10,0
58,Male,18,IN,Premium,102,33,0,Mobile,0,133,0
59,Male,37,FR,Premium,67,31,0.719,Web,0,113,1
60,Male,38,IN,Free,106,27,0.168,Web,22,11,1
61,Male,25,BR,Premium,107,29,0.082,Mobile,0,118,0
62,Male,35,IN,Free,39,26,0.006,Mobile,18,11,1
63,Female,41,FR,Free,238,28,0.162,Mobile,17,8,0
64,Male,44,GB,Free,255,34,0.41,Mobile,25,8,1
65,Male,28,SE,Student,382,38,0.093,Mobile,0,8,0
66,Female,13,CA,Free,266,26,0.312,Mobile,14,10,0
67,Male,23,US,Free,234,26,0.638,Desktop,18,13,1
68,Female,26,US,Free,175,24,0.276,Mobile,11,8,0
69,Male,27,IN,Free,164,36,0.17,Mobile,19,11,1
70,Other,28,AU,Free,121,39,0.306,Mobile,23,5,1
71,Female,38,US,Free,149,31,0.152,Mobile,18,8,0
72,Male,40,US,Premium,156,27,0.389,Desktop,0,133,1
73,Male,28,BR,Free,152,26,0.074,Mobile,15,10,1
74,Female,38,AU,Premium,234,30,0.175,Mobile,0,119,0
75,Female,32,US,Premium,68,50,0.076,Mobile,0,111,0
76,Female,30,US,Free,166,44,0.227,Mobile,20,12,0
77,Female,37,FR,Premium,105,30,0.487,Mobile,0,132,0
78,Male,30,US,Premium,183,31,0.27,Mobile,0,122,0
79,Male,46,BR,Premium,292,30,0.427,Mobile,0,98,0
80,Male,18,US,Premium,167,37,0.152,Mobile,0,107,0
81,Female,25,US,Premium,314,22,0.181,Desktop,0,104,0
82,Female,28,US,Free,268,24,0.323,Mobile,22,10,0
83,Male,33,US,Premium,229,24,0.261,Mobile,0,126,0
84,Male,40,US,Free,212,30,0.257,Web,22,8,1
85,Male,29,US,Premium,68,25,0.383,Mobile,0,113,1
86,Male,18,IN,Free,152,33,0.089,Web,28,14,1
87,Female,36,US,Family,274,53,0.441,Mobile,0,104,1
88,Female,36,AU,Free,404,34,0.127,Desktop,25,13,0
89,Female,14,US,Premium,42,32,0.138,Mobile,0,128,0
90,Female,29,FR,Premium,33,37,0.539,Web,0,120,1
91,Male,17,US,Family,60,23,0.241,Mobile,0,103,0
92,Female,24,US,Premium,128,30,0.172,Mobile,0,118,1
93,Female,22,CA,Free,440,35,0.043,Mobile,16,11,0
